Lat,Long,Municipio,AreaKm2,Desmatado2008,Incremento20072008,Floresta2008,NaoObservado2008,NaoFloresta2008,Hidrografia2008,Fronteiras,MaiorQueAMédia
-2.54458,-58.65656,Itapiranga,4245,134.3,1.2,3362.6,0.8,155.6,172.4,"['Presidente Figueiredo', 'Sao Sebastiao do Uatuma', 'Urucura', 'Urucurituba', 'Silves', 'Rio Preto de Eva', 'Itacoatiara']",False
-6.72683,-67.90389,Itamarati,26042,120.1,1.5,21941.4,1.5,3.3,288.5,"['Envira', 'Eirunepe', 'Jutai', 'Carauari', 'Tapua', 'Labrea', 'Pauini']",False
-3.13511,-58.81276,Itacoatiara,8927,1695.3,27.4,4715.2,3.4,829.3,1665.6,"['Autazes', 'Careiro da Varzea', 'Maues', 'Rio Preto da Eva', 'Nova Olinda do Norte', 'Manaus', 'Silves', 'Itapiranga', 'Urucurituba', 'Boa Vista do Ramos']",True
-3.08591,-60.66479,Iranduba,2229,464.9,2.0,1024.6,1.2,132.9,303.8,"['Novo Airao', 'Careiro', 'Careiro da Varzea', 'Manacapuru', 'Manaquiri', 'Manaus']",False
-7.14334,-71.42004,Ipixuna,12595,207.8,5.1,12213.1,0.6,66.6,70.2,"['Eirunepe', 'Benjamin Constant', 'Atalaia do Norte', 'Guajara']",False
-7.51084,-62.5992,Humaita,33428,661.3,20.8,28844.2,2.0,3116.3,784.2,"['Canutama', 'Tapaua', 'Manicore']",True
-7.25158,-72.74345,Guajara,7984,457.4,3.8,7274.8,0.0,206.9,7.2,"['Atalaia do Norte', 'Ipixuna']",False
-2.54594,-66.9133,Fonte Boa,12392,96.8,1.9,11260.7,3.0,154.1,812.5,"['Jutai', 'Jurua', 'Tonantins', 'Japura', 'Manaa', 'Uarini']",False
-7.61678,-70.19515,Envira,7793,236.8,7.1,7488.0,5.3,0.1,62.8,"['Pauini', 'Itamarati', 'Eirunepe']",False
-7.04074,-70.12601,Eirunepe,15608,364.4,3.4,14879.2,5.2,172.1,181.7,"['Benjamin Constant', 'Ipixuna', 'Envira', 'Itamarati', 'Jutai', 'Pauini']",False
-3.12907,-63.20401,Codajas,18944,259.1,1.4,14915.2,2.7,729.2,1440.8,"['Anama', 'Anori', 'Coari', 'Manaa', 'Barcelos', 'Novo Airao', 'Caapiranga']",False
-4.03545,-63.53466,Coari,58828,759.7,3.1,52302.1,2.6,823.1,2761.8,"['Manaa', 'Codajas', 'Tefe', 'Tapua', 'Anori', 'Barcelos']",True
-3.30477,-59.55597,Careiro da Varzea,2641,489.0,13.9,814.5,0.8,707.8,628.0,"['Iranduba', 'Careiro', 'Manaus', 'Itacoatiara', 'Autazes']",False
-3.749,-60.14701,Careiro,6127,1093.7,6.5,4541.6,1.4,80.7,316.9,"['Iranduba', 'Manacapuru', 'Manaquiri', 'Borba', 'Autazes', 'Careiro da Varzea', 'Manaus']",True
-5.17242,-67.49476,Carauari,26469,289.6,2.5,25681.3,7.1,12.7,399.9,"['Tefe', 'Alvaraes', 'Jurua', 'Jutai', 'Itamarati', 'Tapua']",False
-7.45596,-63.90278,Canutama,30278,887.1,39.0,28033.0,5.3,988.3,296.8,"['Labrea', 'Tapaua', 'Humaita']",True
-3.0546,-61.93934,Caapiranga,9550,232.3,0.2,8425.8,0.6,181.9,427.6,"['Anama', 'Manacapuru', 'Novo Airao', 'Codajas']",False
-5.33176,-59.23777,Borba,44452,512.3,8.8,41492.5,13.0,586.5,1838.7,"['Maues', 'Nova Olinda do Norte', 'Autazes', 'Careiro', 'Manaquiri', 'Beruri', 'Manicore', 'Novo Aripuana', 'Apui']",False
-8.81858,-68.00168,Boca do Acre,22595,1978.7,39.4,20430.6,1.9,58.4,124.0,"['Pauini', 'Labrea']",True
-3.15669,-57.90464,Boa Vista do Ramos,2588,200.7,0.3,1116.9,1.1,852.8,405.7,"['Maues', 'Barreirinha', 'Urucurituba', 'Itacoatiara']",False
-4.54242,-61.73805,Beruri,17411,203.4,2.4,15690.4,2.7,886.1,572.8,"['Manicore', 'Tapua', 'Anori', 'Anama', 'Manacapuru', 'Manaquiri']",False
-5.49767,-70.32124,Benjamin Constant,9146,186.0,0.6,7719.4,17.4,0.0,204.8,"['Atalaia do Norte', 'Ipixuna', 'Eirunepe', 'Jutai', 'Sao Paulo de Olivença', 'Tabatinga']",False
-3.13292,-57.23915,Barreirinha,5760,762.0,7.9,3444.4,2.2,408.6,956.1,"['Maues', 'Boa Vista do Ramos', 'Urucurituba', 'Parintins']",True
-0.14071,-63.18572,Barcelos,124163,197.0,1.5,89363.7,82.8,17060.1,4499.9,"['Santa Isabel do Rio Negro', 'Novo Airao', 'Manaa', 'Codajas', 'Coari']",False
-3.83163,-59.45109,Autazes,7636,1203.5,40.9,4936.6,3.0,464.3,1015.9,"['Manaus', 'Careiro', 'Careiro da Varzea', 'Borba', 'Itacoatiara', 'Nova Olinda do Norte']",True
-5.67098,-71.72825,Atalaia do Norte,80005,233.4,1.2,77330.4,328.2,16.5,395.9,"['Benjamim Constant', 'Guajara', 'Ipixuna']",False
-7.59202,-59.44152,Apui,54490,1621.0,70.7,51759.8,15.2,625.0,204.2,"['Novo Aripuana', 'Borba', 'Maues']",True
-4.15477,-62.08065,Anori,5852,78.6,0.9,4143.9,0.6,640.6,434.7,"['Beruri', 'Tapua', 'Coari', 'Codajas', 'Anama']",False
-3.47332,-61.6709,Anama,2473,192.9,0.1,1966.4,0.4,34.6,219.0,"['Manacapuru', 'Beruri', ' Anori', 'Codajas', 'Caapiranga']",False
-3.42104,-68.34925,Amatura,4903,110.6,0.1,3490.5,0.9,222.4,213.6,"['Sao Paulo de OLivença', 'Jutai', 'Santo Antonio do Iça']",False
-3.67425,-65.34586,Alvaraes,6027,310.9,10.5,5162.6,1.4,38.0,127.6,"['Tefe', 'Carauari', 'Jurua', 'Uarini']",False
