Lat,Long,Municipio,AreaKm2,Desmatado2002,Incremento20012002,Floresta2002,NaoObservado2002,NaoFloresta2002,Hidrografia2002,Fronteiras,MaiorQueAMédia
-2.8349,-57.83095,Urucurituba,2915,89.5,0.0,135.5,0.0,1689.6,1000.4,"['Boa Vista do Ramos', 'Barreirinha', 'Itapiranga', 'Itacoatiara', 'Parintins', 'Urucara', 'Silves', 'Nhamunda']",False
-1.24938,-58.78714,Urucara,28012,317.6,1.3,26624.1,0.9,423.0,646.4,"['Nhamunda', 'Urucurituba', 'Itapiranga', 'Sao Sebastiao do Uatuma', 'Presidente Figueiredo']",False
-3.20648,-65.43058,Uarini,10448,218.6,19.7,9697.3,0.0,100.3,431.8,"['Manaa', 'Fonte Boa', 'Jurua', 'Alvaraes', 'Tefe']",False
-2.57583,-67.47268,Tonantins,6619,74.1,0.3,6160.2,1.6,67.4,315.7,"['Japura', 'Santo Antonio do Iça', 'Fonte Boa', 'Jutai']",False
-4.41301,-65.57764,Tefe,24186,577.1,20.0,22713.5,1.8,168.9,724.7,"['Tapaua', 'Manaa', 'Carauari', 'Jurua', 'Alvaraes', 'Uarini']",True
-5.93398,-65.97188,Tapaua,90962,278.4,6.1,87019.2,1.9,2161.1,1501.4,"['Itamarati', 'Pauini', 'Labrea', 'Canutama', 'Carauari', 'Tefe', 'Coari', 'Anori', 'Beruri', 'Manicore', 'Humaita']",False
-4.02878,-69.69786,Tabatinga,3343,146.5,3.8,3113.6,29.6,1.3,52.0,"['Benjamin Constant', 'Santo Antonio do Iça', 'Sao Paulo de Olivença']",False
-2.85099,-58.49614,Silves,3758,403.8,4.1,2626.8,0.0,128.7,598.7,"['Urucurituba', 'Itacoatiara', 'Itapiranga']",False
-1.89625,-58.81001,Sao Sebastiao do Uatuma,10776,171.6,2.9,9912.4,0.5,65.7,625.8,"['Urucura', 'Presidente Figueiredo', 'Itapiranga']",False
-4.73714,-69.52392,Sao Paulo de Olivenca,20467,167.4,50.4,19625.2,0.3,86.3,587.8,"['Benjamin Constant', 'Jutai', 'Tabatinga', 'Santo Antonio do Iça', 'Amatur']",False
0.35952,-68.17017,Sao Gabriel da Cachoeira,112476,1141.3,30.6,108813.2,370.6,489.6,1482.3,"['Japura', 'Santa Isabel do Rio Negro']",True
-3.08079,-69.06723,Santo Antonio do Ica,12737,126.5,0.8,12003.6,65.2,90.4,451.3,"['Sao Paulo de Olivença', 'Tabatinga', 'Amatur', 'Tonantins', 'Jutai', 'Japura']",False
-0.25129,-64.98731,Santa Isabel do Rio Negro,64130,195.1,2.7,62230.7,70.9,950.8,628.3,"['Sao Gabriel da Cachoeira', 'Japura', 'Manaa', 'Barcelos']",False
-2.50853,-59.60122,Rio Preto da Eva,5838,523.2,7.6,5303.4,1.1,0.0,10.3,"['Itacoatiara', 'Manaus', 'Itapiranga', 'Presidente Figueiredo']",True
