Lat,Long,Municipio,AreaKm2,Desmatado2009,Incremento20082009,Floresta2009,NaoObservado2009,NaoFloresta2009,Hidrografia2009,Fronteiras,MaiorQueAMédia
-2.8349,-57.83095,Urucurituba,2915,93.6,0.0,34.0,0.5,1689.6,1000.4,"['Boa Vista do Ramos', 'Barreirinha', 'Itapiranga', 'Itacoatiara', 'Parintins', 'Urucara', 'Silves', 'Nhamunda']",False
-1.24938,-58.78714,Urucara,28012,333.8,1.6,26129.7,2.3,423.0,646.4,"['Nhamunda', 'Urucurituba', 'Itapiranga', 'Sao Sebastiao do Uatuma', 'Presidente Figueiredo']",False
-3.20648,-65.43058,Uarini,10448,239.5,0.5,9464.8,2.2,100.3,431.8,"['Manaa', 'Fonte Boa', 'Jurua', 'Alvaraes', 'Tefe']",False
-2.57583,-67.47268,Tonantins,6619,81.5,0.4,6092.3,2.1,67.4,315.7,"['Japura', 'Santo Antonio do Iça', 'Fonte Boa', 'Jutai']",False
-4.41301,-65.57764,Tefe,24186,625.1,4.5,22348.9,3.9,168.9,724.7,"['Tapaua', 'Manaa', 'Carauari', 'Jurua', 'Alvaraes', 'Uarini']",True
-5.93398,-65.97188,Tapaua,90962,305.9,1.1,85794.5,2.0,2161.1,1501.4,"['Itamarati', 'Pauini', 'Labrea', 'Canutama', 'Carauari', 'Tefe', 'Coari', 'Anori', 'Beruri', 'Manicore', 'Humaita']",False
-4.02878,-69.69786,Tabatinga,3343,155.6,1.1,2554.2,31.5,1.3,52.0,"['Benjamin Constant', 'Santo Antonio do Iça', 'Sao Paulo de Olivença']",False
-2.85099,-58.49614,Silves,3758,426.7,0.3,2403.2,1.1,128.7,598.7,"['Urucurituba', 'Itacoatiara', 'Itapiranga']",False
-1.89625,-58.81001,Sao Sebastiao do Uatuma,10776,197.8,2.2,9807.8,1.9,65.7,625.8,"['Urucura', 'Presidente Figueiredo', 'Itapiranga']",False
-4.73714,-69.52392,Sao Paulo de Olivenca,20467,175.2,0.7,18635.8,1.6,86.3,587.8,"['Benjamin Constant', 'Jutai', 'Tabatinga', 'Santo Antonio do Iça', 'Amatur']",False
0.35952,-68.17017,Sao Gabriel da Cachoeira,112476,1185.2,4.6,94198.6,389.5,489.6,1482.3,"['Japura', 'Santa Isabel do Rio Negro']",True
-3.08079,-69.06723,Santo Antonio do Ica,12737,133.4,1.2,11821.6,75.7,90.4,451.3,"['Sao Paulo de Olivença', 'Tabatinga', 'Amatur', 'Tonantins', 'Jutai', 'Japura']",False
-0.25129,-64.98731,Santa Isabel do Rio Negro,64130,207.3,0.1,57615.2,78.8,950.8,628.3,"['Sao Gabriel da Cachoeira', 'Japura', 'Manaa', 'Barcelos']",False
-2.50853,-59.60122,Rio Preto da Eva,5838,560.9,1.3,5263.9,2.4,0.0,10.3,"['Itacoatiara', 'Manaus', 'Itapiranga', 'Presidente Figueiredo']",True
-0.65847,-60.17004,Presidente Figueiredo,25568,708.8,13.7,21383.3,9.5,1.1,3421.8,"['Rio Preto de Eva', 'Manaus', 'Novo Airao', 'Itapiranga', 'Sao Sebastiao do Uatuma', 'Urucua']",True
-7.76452,-68.19675,Pauini,42877,213.6,3.4,42253.5,2.3,23.7,261.8,"['Boca do Acre', 'Envira', 'Itamarati', 'Eirunepe', 'Tapaua', 'Labrea']",False
-2.78735,-56.68566,Parintins,5958,954.8,5.3,1302.8,4.0,1133.2,2281.2,"['Nhamunda', 'Urucurituba', 'Barreirinha']",True
-6.83379,-60.23604,Novo Aripuana,41452,876.5,15.9,37654.3,27.9,1620.2,742.6,"['Manicore', 'Apui', 'Borba']",True
-1.51628,-61.51599,Novo Airao,38114,114.2,1.9,34107.2,1.8,211.9,1358.7,"['Barcelos', 'Codajas', 'Caapiranga', 'Manacapuru', 'Manaus', 'Presidente Figueiredo']",False
-4.02487,-58.58633,Nova Olinda do Norte,5625,413.0,1.4,4288.7,1.9,281.0,431.0,"['Borba', 'Maues', 'Autazes', 'Itacoatiara']",False
-1.08094,-58.4439,Nhamunda,14132,460.5,4.4,11909.5,3.8,344.4,1107.8,"['Urucura', 'Urucurituba', 'Parintins', 'Maues']",False
