Lat,Long,Municipio,AreaKm2,Desmatado2002,Incremento20012002,Fronteiras,MaiorQueAMédia
-2.8349,-57.83095,Urucurituba,2915,89.5,0.0,"['Boa Vista do Ramos', 'Barreirinha', 'Itapiranga', 'Itacoatiara', 'Parintins', 'Urucara', 'Silves', 'Nhamunda']",False
-1.24938,-58.78714,Urucara,28012,317.6,1.3,"['Nhamunda', 'Urucurituba', 'Itapiranga', 'Sao Sebastiao do Uatuma', 'Presidente Figueiredo']",False
-3.20648,-65.43058,Uarini,10448,218.6,19.7,"['Maraa', 'Fonte Boa', 'Jurua', 'Alvaraes', 'Tefe']",False
-2.57583,-67.47268,Tonantins,6619,74.1,0.3,"['Japura', 'Santo Antonio do Ica', 'Fonte Boa', 'Jutai']",False
-4.41301,-65.57764,Tefe,24186,577.1,20.0,"['Tapaua', 'Maraa', 'Carauari', 'Jurua', 'Alvaraes', 'Uarini']",True
-5.93398,-65.97188,Tapaua,90962,278.4,6.1,"['Itamarati', 'Pauini', 'Labrea', 'Canutama', 'Carauari', 'Tefe', 'Coari', 'Anori', 'Beruri', 'Manicore', 'Humaita']",False
-4.02878,-69.69786,Tabatinga,3343,146.5,3.8,"['Benjamin Constant', 'Santo Antonio do Ica', 'Sao Paulo de Olivenca']",False
-2.85099,-58.49614,Silves,3758,403.8,4.1,"['Urucurituba', 'Itacoatiara', 'Itapiranga']",False
-1.89625,-58.81001,Sao Sebastiao do Uatuma,10776,171.6,2.9,"['Urucara', 'Presidente Figueiredo', 'Itapiranga']",False
-4.73714,-69.52392,Sao Paulo de Olivenca,20467,167.4,50.4,"['Benjamin Constant', 'Jutai', 'Tabatinga', 'Santo Antonio do Ica', 'Amatura']",False
0.35952,-68.17017,Sao Gabriel da Cachoeira,112476,1141.3,30.6,"['Japura', 'Santa Isabel do Rio Negro']",True
-3.08079,-69.06723,Santo Antonio do Ica,12737,126.5,0.8,"['Sao Paulo de Olivenca', 'Tabatinga', 'Amatura', 'Tonantins', 'Jutai', 'Japura']",False
-0.25129,-64.98731,Santa Isabel do Rio Negro,64130,195.1,2.7,"['Sao Gabriel da Cachoeira', 'Japura', 'Maraa', 'Barcelos']",False
-2.50853,-59.60122,Rio Preto da Eva,5838,523.2,7.6,"['Itacoatiara', 'Manaus', 'Itapiranga', 'Presidente Figueiredo']",True
-0.65847,-60.17004,Presidente Figueiredo,25568,596.2,12.8,"['Rio Preto da Eva', 'Manaus', 'Novo Airao', 'Itapiranga', 'Sao Sebastiao do Uatuma', 'Urucara']",True
-7.76452,-68.19675,Pauini,42877,167.1,10.0,"['Boca do Acre', 'Envira', 'Itamarati', 'Eirunepe', 'Tapaua', 'Labrea']",False
-2.78735,-56.68566,Parintins,5958,912.6,8.3,"['Nhamunda', 'Urucurituba', 'Barreirinha']",True
-6.83379,-60.23604,Novo Aripuana,41452,565.1,14.9,"['Manicore', 'Apui', 'Borba']",True
-1.51628,-61.51599,Novo Airao,38114,103.8,0.7,"['Barcelos', 'Codajas', 'Caapiranga', 'Manacapuru', 'Manaus', 'Presidente Figueiredo']",False
-4.02487,-58.58633,Nova Olinda do Norte,5625,377.4,9.8,"['Borba', 'Maues', 'Autazes', 'Itacoatiara']",False
-1.08094,-58.4439,Nhamunda,14132,435.2,3.7,"['Urucara', 'Urucurituba', 'Parintins', 'Maues']",False
-5.24148,-58.19462,Maues,40090,1178.8,27.4,"['Apui', 'Borba', 'Itacoatiara', 'Boa Vista do Ramos', 'Barreirinha', 'Nova Olinda do Norte']",True
